Id,weight,modularity_class,Degree,Weighted Degree,X,Y,Size,Color
davidoo2,15,1,1,15,-37.089367,250.557312,10.001207,"#ff86ff"
evenputin,27,1,1,27,-77.404152,267.972412,10.008454,"#ff86ff"
fckptn,27,1,1,27,142.392181,263.730347,10.008454,"#ff86ff"
fckputin,13,1,1,13,-31.036314,210.757294,10,"#ff86ff"
fuckputin,50,1,2,50,52.471771,423.853363,10.022345,"#ff86ff"
fuelpricesmustfall,29,1,2,29,30.250948,188.284195,10.009663,"#ff86ff"
glorytoukraine,27,1,2,27,72.617851,264.983215,10.008454,"#ff86ff"
indianairforce,233,63,5,233,-380.21524,-32.475559,10.132858,"#bdd63d"
indiarussia,37,1,2,37,-85.93615,241.32518,10.014494,"#ff86ff"
indiastandswithrussia,121,4,3,121,176.493484,-57.773029,10.065222,"#00f400"
indiastandwithputin,19,1,1,19,-75.619164,199.424561,10.003623,"#ff86ff"
indiasupportsrussia,21,1,1,21,94.495026,306.588806,10.004831,"#ff86ff"
israeli,62,48,4,62,-65.032654,24.184214,10.029592,"#d2832c"
israelicrimes,40,0,2,40,130.847137,-498.420349,10.016305,"#ff6922"
istandwithchina,90,49,4,90,20.223644,29.656876,10.0465,"#ff009d"
istandwithrussian,18,1,1,18,101.701958,275.098572,10.003019,"#ff86ff"
istandwithrussians,133,1,4,133,5.095672,287.352905,10.072468,"#ff86ff"
istandwithukraine,1672,50,22,1672,-149.230774,-147.360901,11.001872,"#3e68b8"
istandwithukraine️,26,1,2,26,51.339443,296.474487,10.007851,"#ff86ff"
istandwithukriane,202,1,3,202,-85.618187,305.872253,10.114138,"#ff86ff"
istandwithzelensky,51,50,3,51,-117.885208,-127.198441,10.022948,"#3e68b8"
istandwithzelenskyy,291,50,3,291,-122.846962,-168.802139,10.167885,"#3e68b8"
isupportputin,660,51,10,660,32.755814,-133.352753,10.390724,"#8c7336"
isupportrussia,1097,51,12,1097,70.852997,-122.144142,10.654629,"#8c7336"
kashmir,15,1,1,15,-13.830331,329.351898,10.001207,"#ff86ff"
kharkiv,609,70,16,609,258.510986,-391.582397,10.359925,"#689740"
kyivnow,20,1,1,20,4.40242,406.590393,10.004228,"#ff86ff"
moscow,328,3,8,328,-160.506485,-350.892212,10.190228,"#ff72c0"
nomore,126,4,3,126,209.816437,-161.290451,10.068241,"#00f400"
nowarindonbass,231,4,8,231,287.457001,-162.929504,10.131651,"#00f400"
nuclearpowerplant,42,52,3,42,-103.430618,34.302704,10.017513,"#e7c13b"
nuclearwar,193,12,7,193,-157.540054,128.998901,10.108703,"#00e7ff"
olosho,39,1,1,39,10.109112,371.089325,10.015701,"#ff86ff"
pakistan,101,9,5,101,-208.118591,-481.328918,10.053144,"#d6cf7b"
putinhitler,287,54,9,287,18.818962,97.337036,10.165469,"#f9b4e8"
putinisawarcriminal,973,11,20,973,-126.342125,6.168833,10.579745,"#ff6f7f"
putinonthemarch,56,69,4,56,-485.054596,11.336851,10.025968,"#cc0e5e"
putinswar,359,53,12,359,58.049335,4.975911,10.20895,"#0079bf"
putinwarcrimes,2540,4,36,2540,290.312103,-227.545303,11.526058,"#00f400"
putinwarcriminal,1814,54,33,1814,46.996628,55.55471,11.087626,"#f9b4e8"
russiaarmy,35,1,1,35,58.776592,360.398163,10.013286,"#ff86ff"
russianinvasion,188,55,7,188,93.283638,-5.338416,10.105682,"#c74704"
russians,4665,56,39,4665,89.278908,-88.538689,12.809348,"#b768ec"
russiansoldiers,163,8,7,163,-258.614044,131.53479,10.090585,"#007465"
russianwarcrimes,153,57,8,153,-150.351929,-111.017387,10.084546,"#5c86ff"
russiaukraineconflict,1994,47,35,1994,-28.351597,-111.079857,11.196328,"#007e32"
russiaukrainecrisis,212,47,9,212,-3.058024,-145.129379,10.120176,"#007e32"
russophobia,101,58,6,101,103.449631,-43.825397,10.053144,"#00a1ff"
slavaukraini,195,59,6,195,-161.561386,-48.323383,10.10991,"#3bbe00"
standingwithukraine,59,4,3,59,315.21347,0.186281,10.02778,"#00f400"
standwithukraine️,549,4,12,549,183.787827,-199.476318,10.323691,"#00f400"
stopputin,1434,4,12,1434,275.992828,-11.155978,10.858144,"#00f400"
stopputinnow,1089,10,23,1089,-86.752098,89.519814,10.649797,"#de2335"
stoprussia,1277,4,11,1277,250.823273,15.925406,10.763331,"#00f400"
stopwar,241,10,10,241,-76.159378,65.555672,10.13769,"#de2335"
stopwarinukraine,84,1,3,84,74.552689,378.777161,10.042877,"#ff86ff"
supportputin,258,60,7,258,155.573547,-260.154755,10.147956,"#ffa300"
supportrussia,638,60,9,638,202.35051,-248.973465,10.377439,"#ffa300"
ukraineinvasion,290,62,9,290,197.882614,353.928741,10.16728,"#3d3460"
ukrainekrieg,161,12,7,161,-136.655624,100.801712,10.089377,"#00e7ff"
ukrainerussiaconflict,1926,69,21,1926,-441.611481,1.225435,11.155263,"#cc0e5e"
ukraineunderattack,1111,62,23,1111,204.1371,319.896545,10.663084,"#3d3460"
ukraineunderattaсk,979,63,17,979,-330.688477,-42.074303,10.583368,"#bdd63d"
ukriane,1534,63,23,1534,-385.497925,10.41833,10.918533,"#bdd63d"
un,313,25,11,313,-447.679901,-185.837189,10.18117,"#00ebff"
ussr,74,12,4,74,-216.712219,157.515564,10.036838,"#00e7ff"
vladimirputin,754,45,21,754,51.845188,-65.548027,10.447491,"#ff76ff"
warinukraine,182,64,7,182,-319.068695,-78.498466,10.102059,"#ff0060"
wemetontwitter,45,1,1,45,45.150112,230.092621,10.019325,"#ff86ff"
westandwithrussia,82,1,2,82,-21.09757,361.828857,10.041669,"#ff86ff"
westernhypocrisy,13,1,1,13,-104.971428,218.16745,10,"#ff86ff"
worldwar3,122,65,6,122,-353.007324,-69.450195,10.065825,"#78d99a"
worldwariii,154,12,5,154,-213.236176,86.356224,10.08515,"#00e7ff"
wwiii,329,66,9,329,-373.755493,-98.12088,10.190833,"#00f76b"
xijinping,90,67,5,90,-106.764595,289.157867,10.0465,"#ff48e2"
yemen,70,2,4,70,-294.204498,-51.292336,10.034422,"#6e2345"
zaporizhzhia,193,63,7,193,-352.117767,-4.83615,10.108703,"#bdd63d"
احنا_مع_روسيا,60,10,3,60,-38.428207,78.122406,10.028383,"#de2335"
chuvakputin,13,1,1,13,26.439489,253.599854,10,"#ff86ff"
closetheskyoverukraine,14,1,1,14,-62.182236,351.754761,10.000604,"#ff86ff"
kiyv,13,1,1,13,-7.288035,240.310532,10,"#ff86ff"
lavrov,117,3,6,117,-223.933914,-303.603943,10.062806,"#ff72c0"
natoinukrainenow,13,1,1,13,10.604254,220.974686,10,"#ff86ff"
peace,244,25,8,244,-447.026581,-147.499374,10.139502,"#00ebff"
seekthetruth,27,80,2,27,-493.967194,146.150299,10.008454,"#7ce939"
skeemsaam,13,1,1,13,-10.076796,178.006729,10,"#ff86ff"
ukraineconflict,53,68,3,53,-397.955963,-60.38588,10.024156,"#00f5b1"
ukrainecrisis,192,13,7,192,146.621063,26.990816,10.108098,"#00aa6e"
unitednations,29,4,2,29,306.260193,-124.609184,10.009663,"#00f400"
чеченцы,110,78,7,110,-134.756882,-607.851685,10.058578,"#ffa6ff"
jewish,33,19,2,33,78.164497,-195.306671,10.012078,"#ffa9ad"
